ticker,entry_date,return_pct,duration_days,rsi_at_entry,atr_pct_at_entry,dist_atr_at_entry,weekday,month,Date,regime_bull
CRSR,2025-03-13,-26.25215959399685,21,32.38094814254943,7.170716036819509,3.1070129009936904,Thursday,3,2025-03-13,False
PGEN,2025-03-26,-27.5018666619674,13,32.89473664892414,9.282911290279891,3.000682899997088,Wednesday,3,2025-03-26,False
CRNC,2025-03-27,-10.530435848201948,7,34.89932727360926,10.39467052034034,1.1317155201357345,Thursday,3,2025-03-27,False
BB,2025-04-01,-16.00187429601002,2,29.220776341336943,6.602505848423151,1.4257863575928806,Tuesday,4,2025-04-01,False
SGHC,2025-04-03,6.49156482928928,5,39.999994685923625,5.0869624182507,1.5848626431051127,Thursday,4,2025-04-03,False
TENX,2025-04-03,-11.022501587867737,7,39.98046013731981,7.219822149693751,1.5581793256395933,Thursday,4,2025-04-03,False
SMERY,2025-04-04,18.476579744477363,5,20.517030777387205,5.914400531658823,0.9112048778669092,Friday,4,2025-04-04,False
SSRM,2025-04-04,15.515844674258853,7,22.70115122392211,6.262087101056708,2.9338203696884086,Friday,4,2025-04-04,False
RYCEY,2025-04-04,22.119353777968893,24,20.424377676561733,4.895193707687244,1.5875580521089934,Friday,4,2025-04-04,False
TRVI,2025-04-04,5.624745246406583,19,38.33334064662018,7.44448314645807,4.751794958653647,Friday,4,2025-04-04,False
LTH,2025-04-08,8.370578494447766,1,33.15954379495304,5.758159853547384,0.8590847392478206,Tuesday,4,2025-04-08,False
PRMB,2025-04-21,-1.9363170413483792,28,32.77132498697766,4.357304358108788,1.4462809652937627,Monday,4,2025-04-21,False
GRPN,2025-05-05,11.230750880386845,3,31.24999578483248,7.214189163661404,3.452947090113832,Monday,5,2025-05-05,False
ALM,2025-05-12,6.5497537978014,3,39.05390711095912,7.140599558351584,5.319420125862306,Monday,5,2025-05-12,True
PCRX,2025-05-13,9.015136003333463,2,36.607140500089095,5.925316924689278,1.2374826839755857,Tuesday,5,2025-05-13,True
SKE,2025-05-14,7.974040962793253,6,38.76501291646812,5.828175204993248,1.7947652523202515,Wednesday,5,2025-05-14,True
PGNY,2025-05-19,4.555704934763364,16,37.05673545797789,4.171777581886551,2.2967919854527588,Monday,5,2025-05-19,True
TRVI,2025-05-21,5.80935845840856,9,30.85104795010893,6.5750761659097,3.953834292767769,Wednesday,5,2025-05-21,True
